periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202501;P05747;546009;7440;24.59984534;4.184607095;M08;A1;7;1;B_T;NA;6;0;X;300
202501;P06976;551645;1680;36.50522371;1.594430404;M02;B2;5;2;B_T;N_T;1.5;0.05;Y;98
202501;P07920;548767;1556;22.28017051;2.149802214;M14;A1;5;1;N_O;NA;0.5;0;Y;100
202501;P07767;552185;2700;14.16815559;3.843639109;M13;A1;5;1;B_T;NA;2;0;X;62
202501;P07576;546482;2578;18.22597584;2.083459408;M02;B2;5;2;B_T;V_T;2;0.05;X;91
202501;P07576;551797;2800;21.39105817;1.918270841;M02;B2;5;2;B_T;V_T;2;0.05;X;116
202501;P07576;546480;2649;26.31383342;2.027617348;M02;B2;5;2;B_T;V_T;2;0.05;X;135
202501;P07576;545674;3040;24.75524853;2.306371177;M02;B2;5;2;B_T;V_T;2;0.5;X;145.75
202501;P08346;551619;2118;47.57876084;4.052711548;M02;B2;5;1;R_T;NA;1.3;0;Y;150
202501;P05677;523523;1053;54.25934466;15.88362889;M11;C3;4;1;N_O;NA;2.5;0;X;190
202501;P05677;551799;1200;39.2885618;0.10523335;M15;A1;4;1;N_T;NA;0.05;0;X;76
202501;P00457;549618;2800;39.6749126;8.123795452;M11;C3;4;1;N_O;NA;3.4;0;X;230
202501;P08198;551657;2100;23.82717654;0;M16;A1;5;0;NA;NA;0;0;Y;107
202501;P07504;551447;1293;33.25288058;6.82223647;M08;A1;7;1;B_T;NA;1.7;0;Y;64
202501;P08105;552981;1200;33.03076173;4.324093997;M16;A1;5;1;B_T;NA;1;0;Y;59
202501;P08345;551641;778;37.13100312;2.81098547;M08;A1;7;1;V_T;NA;0.3;0;Y;43
202501;P00049;551612;692;8.90649697;0.526721264;M05;D4;5;1;V_T;NA;0.05;0;X;12
202501;P00049;551609;552;9.304492608;0.66030999;M05;D4;5;1;V_T;NA;0.05;0;X;10
202501;P06727;540186;2585;5.475707627;4.014632725;M05;D4;5;1;B_T;NA;2;0;X;44
202501;P08335;545734;1100;34.73397313;0.114800018;M13;A1;5;1;N_T;NA;0.05;0;Y;62
202501;P07135;551651;975;41.29746343;0.129517969;M08;A1;7;1;N_T;NA;0.05;0;X;66
202501;P07135;551649;780;51.33580319;0.161897462;M08;A1;7;1;N_T;NA;0.05;0;X;64
202501;P06895;541986;1953;32.91452679;4.718783871;M02;B2;5;2;N_O;N_T;1;1;Y;119.5
