periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202501;P05747;546009;7440,000;24,599845340;4,184607095;M08;A1;7;1;B_T;sin_segundo_insumo;6,00;0,00;X;300,00
202501;P06976;551645;1680,000;36,505223710;1,594430404;M02;B2;5;2;B_T;N_T;1,50;0,05;Y;98,00
202501;P07920;548767;1556,000;22,280170510;2,149802214;M14;A1;5;1;N_O;sin_segundo_insumo;0,50;0,00;Y;100,00
202501;P07767;552185;2700,000;14,168155590;3,843639109;M13;A1;5;1;B_T;sin_segundo_insumo;2,00;0,00;X;62,00
202501;P07576;546482;2578,000;18,225975840;2,083459408;M02;B2;5;2;B_T;V_T;2,00;0,05;X;91,00
202501;P07576;551797;2800,000;21,391058170;1,918270841;M02;B2;5;2;B_T;V_T;2,00;0,05;X;116,00
202501;P07576;546480;2649,000;26,313833420;2,027617348;M02;B2;5;2;B_T;V_T;2,00;0,05;X;135,00
202501;P07576;545674;3040,000;24,755248530;2,306371177;M02;B2;5;2;B_T;V_T;2,00;0,50;X;145,75
202501;P08346;551619;2118,000;47,578760840;4,052711548;M02;B2;5;1;R_T;sin_segundo_insumo;1,30;0,00;Y;150,00
202501;P05677;523523;1053,000;54,259344660;15,883628890;M11;C3;4;1;N_O;sin_segundo_insumo;2,50;0,00;X;190,00
202501;P05677;551799;1200,000;39,288561800;0,105233350;M15;A1;4;1;N_T;sin_segundo_insumo;0,05;0,00;X;76,00
202501;P00457;549618;2800,000;39,674912600;8,123795452;M11;C3;4;1;N_O;sin_segundo_insumo;3,40;0,00;X;230,00
202501;P07504;551447;1293,000;33,252880580;6,822236470;M08;A1;7;1;B_T;sin_segundo_insumo;1,70;0,00;Y;64,00
202501;P08105;552981;1200,000;33,030761730;4,324093997;M16;A1;5;1;B_T;sin_segundo_insumo;1,00;0,00;Y;59,00
202501;P08345;551641;778,000;37,131003120;2,810985470;M08;A1;7;1;V_T;sin_segundo_insumo;0,30;0,00;Y;43,00
